GEOID,xcoord,ycoord
36005042400,-73.849541576133078,40.889285552299093
36005042902,-73.873755629245792,40.877222486910824
36005043400,-73.852400072989482,40.898191253199890
36005043600,-73.849744924297980,40.897291779426034
36005044902,-73.869006653353125,40.898873204028682
36005045600,-73.821157076696736,40.888700113334984
36005046201,-73.827321160497576,40.874319993124118
36005051600,-73.780852402666255,40.849658719408090
36061024000,-73.922755634234193,40.790120898148039
36061017800,-73.932197180298232,40.793828892417906
36061024200,-73.933479855713600,40.805831938413085
36061031100,-73.929502677295176,40.846400801040218
36081010701,-73.900660566974224,40.786004425356197
36081094500,-73.831431095888590,40.790509011502031
36081098100,-73.817074138651932,40.798996787868695
36081099705,-73.787333085533817,40.792830433341315
36005014500,-73.907032108445790,40.831513170461683
36005038700,-73.889388230447409,40.857986856745271
36005000200,-73.860120387984125,40.806156262557657
36005003300,-73.911894613807490,40.808202470054432
36005006900,-73.915755071944290,40.821834768184438
36005008700,-73.897291847276250,40.819671505026513
36005014300,-73.912159261544772,40.827575024791237
36005016000,-73.817567590939845,40.831176733258012
36005017500,-73.913650324135418,40.830823406364424
36005018500,-73.907472669947921,40.826714023829275
36005020200,-73.847575047169727,40.838484937829961
36005022403,-73.865441053344199,40.856473391413452
36005024000,-73.868890816140308,40.841605556256319
36005026900,-73.908719180022331,40.867475297290412
36005031000,-73.836072733878595,40.861222305139769
36005035800,-73.842544051052286,40.873952290677451
36005037100,-73.887404677925659,40.847150734012864
36005038302,-73.894979531250286,40.857479164238249
36005040303,-73.893456197782186,40.869681938260804
36005040900,-73.893164626583854,40.876768999052338
36005042300,-73.877372374155385,40.877017902157696
36005050400,-73.803524290027369,40.871302622796151
36005014100,-73.912336718855855,40.823712471350042
36061029500,-73.924984040588328,40.867491440038364
36005012901,-73.898912342170675,40.822563495813881
36005021302,-73.920328493582858,40.843013657552859
36005017300,-73.916523086504938,40.826296072279632
36005024502,-73.913563095988451,40.855086567547779
36005040502,-73.888960725834608,40.865871910758855
36061029900,-73.916350516402431,40.864460498417380
36005026702,-73.900133417435029,40.872237163536511
36005028400,-73.838773537425794,40.849306228610786
36061029700,-73.926611056542953,40.874423418878898
36005019300,-73.929310293874053,40.836291904424648
36081092900,-73.857430313259954,40.788789445462356
36005004300,-73.917039395840590,40.813622021048623
36005006500,-73.921668378424599,40.817361205643515
36005013000,-73.814543338455280,40.819297751772901
36005015300,-73.894161440000445,40.833478612094389
36005017902,-73.913499322307715,40.837013748214794
36005022500,-73.910993189309522,40.840147008489602
36005026100,-73.905947552961464,40.866568124416382
36005028100,-73.890608756441964,40.883803360010759
36005033800,-73.865816668652656,40.868438484861414
36005036400,-73.849232577657247,40.873632245962227
36005040100,-73.897657250548590,40.864607504219357
36005040701,-73.890184249035499,40.871590453271807
36005041400,-73.854073935993995,40.903710599644448
36005043500,-73.881963074424348,40.894562966906889
36005031200,-73.842462401949476,40.862009295636817
36005033201,-73.869232441791411,40.859474754412922
36005036300,-73.882757304771332,40.844539796919129
36005037200,-73.863301845051936,40.873771989562073
36005027600,-73.821382928496078,40.854905461794935
36005039500,-73.896669283895889,40.848217045964418
36005042500,-73.879114615090018,40.871029319500558
36005048400,-73.834547944190845,40.886314338408532
36005026300,-73.904446292333191,40.864781969243005
36005016300,-73.894965593076961,40.838572285899353
36005021700,-73.913375604728643,40.848130137116016
36005023200,-73.863332074256348,40.846978629936999
36005023900,-73.902944140488600,40.858980841688961
36005037600,-73.869199021780545,40.874533869970364
36005027900,-73.897259361320749,40.882570951031255
36005029600,-73.844985338102262,40.855387301214932
36005009000,-73.841188384328689,40.814949470210429
36005015800,-73.818561594194861,40.824785436620232
36005003900,-73.921427968491756,40.809722478167444
36005005100,-73.927637269279387,40.813159394156294
36005045101,-73.864192878109137,40.897534820265797
36005005300,-73.921784237638050,40.852226602622387
36005022102,-73.916095429709031,40.837658827739780
36005034200,-73.860025903061569,40.868415992670613
36005019900,-73.925499310880369,40.836771567675136
36005038301,-73.898521805030398,40.857203907522056
36005008400,-73.847731496260280,40.815670089567931
36005023703,-73.899570941297227,40.860042645843066
36005026602,-73.830653408065189,40.845997485521174
36005025300,-73.904579397232382,40.861037432336957
36005002500,-73.920871116946017,40.807003961917580
